0.000167, 0.000236, 0.003020, 0.010623, 0.007903, 0.003722
0.000078, 0.000529, 0.001978, 0.007240, 0.004298, 0.001334
0.000083, 0.000132, 0.000972, 0.006246, 0.001445, 0.001320
0.000080, 0.000440, 0.001970, 0.005825, 0.004154, 0.001158
0.000070, 0.000250, 0.000385, 0.000986, 0.000837, 0.001087
0.000399, 0.000624, 0.000916, 0.001418, 0.001753, 0.001589
0.000353, 0.000524, 0.000778, 0.001203, 0.001447, 0.001518
0.000343, 0.000490, 0.000837, 0.001152, 0.001384, 0.001509
0.002104, 0.003010, 0.005206, 0.009525, 0.009414, 0.008058
0.005401, 0.009467, 0.017476, 0.041808, 0.043202, 0.041265
