0.000163, 0.000243, 0.003476, 0.007697, 0.005925, 0.001412
0.000083, 0.000461, 0.001860, 0.006706, 0.005428, 0.001274
0.000082, 0.000469, 0.004014, 0.007365, 0.008582, 0.001489
0.000080, 0.000134, 0.001737, 0.021374, 0.000939, 0.001187
0.000071, 0.000122, 0.000377, 0.000286, 0.000933, 0.001084
0.000394, 0.000597, 0.000924, 0.001575, 0.001669, 0.001665
0.000354, 0.000545, 0.000756, 0.001177, 0.001486, 0.001493
0.000340, 0.000524, 0.000788, 0.001295, 0.001387, 0.001544
0.002102, 0.003136, 0.005346, 0.009666, 0.008631, 0.009513
0.005382, 0.009079, 0.017369, 0.041626, 0.043815, 0.041959
