0.481203, 1.848573, 3.283430, 4.718034, 6.690472, 9.744167
0.484176, 1.604976, 2.995181, 4.124057, 5.452961, 8.909243
0.453860, 1.837777, 2.907674, 3.826853, 5.146512, 8.240469
0.404327, 1.437464, 2.568599, 3.272646, 4.724741, 7.568863
0.345608, 1.277563, 1.870885, 2.902019, 3.886963, 8.103697
104.190562, 54.008484, 44.449013, 33.499759, 25.878543, 8.189587
28.167355, 14.100289, 8.354236, 5.512259, 3.228222, 2.157520
30.096749, 15.405673, 10.682799, 5.110938, 3.315022, 2.148145
6.372513, 3.586588, 2.197955, 1.701329, 1.278826, 1.021349
1.671492, 1.169176, 0.912683, 0.873721, 0.806174, 0.767510
